model,precision,judge,paired_cases,before_correct,after_correct,before_pct,after_pct,delta_pp,gained,lost,p_unadjusted
Qwen/Qwen3.8-27B,BF16,gemini,118,106,101,89.83050847457628,85.59322033898306,-4.23728813559322,4,9,0.266845703125
Qwen/Qwen3.8-27B,BF16,glm,103,93,92,90.29126213592234,89.32038834951457,-0.9708737864077666,4,5,1.0
Qwen/Qwen3.8-27B,NF4,gemini,119,103,104,86.5546218487395,87.39495798319328,0.8403361344537785,7,6,1.0
Qwen/Qwen3.8-27B,NF4,glm,110,98,100,89.0909090909091,90.9090909090909,1.8181818181818188,5,3,0.7265625
XHToken/Spark-X2.5-4B,BF16,gemini,114,54,65,47.368421052631575,57.01754385964912,9.649122807017546,26,15,0.1172752059574122
XHToken/Spark-X2.5-4B,BF16,glm,104,53,59,50.96153846153846,56.730769230769226,5.769230769230771,24,18,0.4407990673425956
XHToken/Spark-X2.5-4B,NF4,gemini,118,38,57,32.20338983050847,48.30508474576271,16.10169491525424,32,13,0.0066088228422813
XHToken/Spark-X2.5-4B,NF4,glm,95,35,52,36.84210526315789,54.736842105263165,17.894736842105267,30,13,0.0137181850586785
anthropic/claude-opus-4.8,API,gemini,119,118,117,99.15966386554622,98.31932773109244,-0.8403361344537896,0,1,1.0
anthropic/claude-opus-4.8,API,glm,118,116,114,98.30508474576273,96.61016949152544,-1.6949152542372947,0,2,0.5
gemini-3.8-flash,API,gemini,119,115,117,96.63865546218489,98.31932773109244,1.680672268907557,2,0,0.5
gemini-3.8-flash,API,glm,119,112,114,94.11764705882352,95.7983193277311,1.6806722689075682,5,3,0.7265625
google/gemma-3-12b-it,BF16,gemini,116,75,75,64.65517241379311,64.65517241379311,0.0,17,17,1.0
google/gemma-3-12b-it,BF16,glm,111,70,71,63.06306306306306,63.96396396396396,0.9009009009009028,15,14,1.0
google/gemma-3-12b-it,NF4,gemini,119,73,80,61.34453781512605,67.22689075630252,5.882352941176472,18,11,0.26493089646101
google/gemma-3-12b-it,NF4,glm,117,74,79,63.24786324786324,67.52136752136752,4.2735042735042805,20,15,0.4995598332025112
google/gemma-3-27b-it,BF16,gemini,118,87,89,73.72881355932203,75.42372881355932,1.6949152542372836,14,12,0.8450189828872681
google/gemma-3-27b-it,BF16,glm,114,82,88,71.9298245614035,77.19298245614034,5.263157894736836,16,10,0.326939582824707
google/gemma-3-27b-it,NF4,gemini,118,82,89,69.49152542372882,75.42372881355932,5.932203389830503,17,10,0.2477885633707046
google/gemma-3-27b-it,NF4,glm,111,73,84,65.76576576576578,75.67567567567568,9.909909909909908,22,11,0.0801433124579489
google/gemma-4-12B-it,BF16,gemini,117,90,96,76.92307692307693,82.05128205128204,5.128205128205121,15,9,0.3074562549591064
google/gemma-4-12B-it,BF16,glm,116,86,92,74.13793103448276,79.3103448275862,5.172413793103448,16,10,0.326939582824707
google/gemma-4-12B-it,NF4,gemini,117,81,85,69.23076923076923,72.64957264957265,3.4188034188034178,16,12,0.5715881884098053
google/gemma-4-12B-it,NF4,glm,112,75,79,66.96428571428571,70.53571428571429,3.571428571428581,14,10,0.5412561893463135
gpt-5.5-2026-04-23,API,gemini,118,115,114,97.45762711864408,96.61016949152544,-0.8474576271186418,2,3,1.0
gpt-5.5-2026-04-23,API,glm,118,113,113,95.76271186440678,95.76271186440678,0.0,2,2,1.0
meta-llama/Llama-3.1-8B-Instruct,BF16,gemini,118,70,68,59.32203389830508,57.6271186440678,-1.6949152542372836,19,21,0.8746293123804207
meta-llama/Llama-3.1-8B-Instruct,BF16,glm,113,67,62,59.29203539823009,54.86725663716814,-4.424778761061954,16,21,0.5113757815852296
meta-llama/Llama-3.1-8B-Instruct,NF4,gemini,116,57,64,49.137931034482754,55.172413793103445,6.03448275862069,21,14,0.3105046590790153
meta-llama/Llama-3.1-8B-Instruct,NF4,glm,114,55,65,48.24561403508772,57.01754385964912,8.771929824561402,25,15,0.1538599441628321
meta-llama/Llama-3.2-1B-Instruct,BF16,gemini,117,22,31,18.803418803418804,26.495726495726498,7.6923076923076925,24,15,0.1995908669196069
meta-llama/Llama-3.2-1B-Instruct,BF16,glm,96,15,23,15.625,23.958333333333336,8.333333333333334,18,10,0.1849333420395851
meta-llama/Llama-3.2-1B-Instruct,NF4,gemini,117,19,25,16.23931623931624,21.36752136752137,5.128205128205127,18,12,0.3615946080535651
meta-llama/Llama-3.2-1B-Instruct,NF4,glm,93,15,22,16.129032258064516,23.655913978494624,7.526881720430109,16,9,0.2295229434967041
microsoft/phi-4,BF16,gemini,119,89,92,74.78991596638656,77.31092436974791,2.5210084033613467,14,11,0.6900379657745361
microsoft/phi-4,BF16,glm,113,86,85,76.10619469026548,75.22123893805309,-0.8849557522123908,11,12,1.0
microsoft/phi-4,NF4,gemini,118,84,86,71.1864406779661,72.88135593220339,1.6949152542372836,15,13,0.8505540192127228
microsoft/phi-4,NF4,glm,113,82,84,72.56637168141593,74.33628318584071,1.7699115044247815,17,15,0.860050065908581
