model,mode,contrast,paired_cases,excluded_pairs,delta_pp,ci95_low_pp,ci95_high_pp,gained,lost,exact_mcnemar_p_unadjusted,partial_credit_delta_pp,all120_lower_delta_pp,all120_upper_delta_pp,before_correct,after_correct,before_strict_pct,after_strict_pct,pair_retention_pct
Qwen/Qwen3.8-27B,no_rag,BF16 minus NF4,98,22,2.0408163265306123,0.0,5.1020408163265305,2,0,0.5,2.5510204081632653,-10.0,11.666666666666666,92,94,93.87755102040816,95.91836734693878,81.66666666666667
Qwen/Qwen3.8-27B,with_rag,BF16 minus NF4,100,20,-3.0,-7.000000000000001,0.0,0,3,0.25,-1.5,-13.333333333333334,6.666666666666667,95,92,95.0,92.0,83.33333333333333
XHToken/Spark-X2.5-4B,no_rag,BF16 minus NF4,87,33,13.79310344827586,4.597701149425287,22.988505747126435,16,4,0.0118179321289062,9.770114942528735,-3.333333333333333,28.33333333333333,32,44,36.7816091954023,50.57471264367816,72.5
XHToken/Spark-X2.5-4B,with_rag,BF16 minus NF4,77,43,2.5974025974025974,-3.896103896103896,9.090909090909092,5,3,0.7265625,3.2467532467532463,-16.666666666666664,24.166666666666668,49,51,63.63636363636363,66.23376623376623,64.16666666666667
google/gemma-3-12b-it,no_rag,BF16 minus NF4,94,26,1.0638297872340423,-6.382978723404255,8.51063829787234,7,6,1.0,1.5957446808510638,-12.5,15.0,64,65,68.08510638297872,69.14893617021276,78.33333333333333
google/gemma-3-12b-it,with_rag,BF16 minus NF4,95,25,-4.2105263157894735,-10.526315789473683,2.1052631578947367,3,7,0.34375,-2.1052631578947367,-16.666666666666664,8.333333333333332,70,66,73.6842105263158,69.47368421052632,79.16666666666667
google/gemma-3-27b-it,no_rag,BF16 minus NF4,102,18,4.901960784313726,-0.9803921568627452,10.784313725490197,8,3,0.2265625,4.901960784313726,-5.0,12.5,71,76,69.6078431372549,74.50980392156863,85.0
google/gemma-3-27b-it,with_rag,BF16 minus NF4,100,20,4.0,1.0,8.0,4,0,0.125,2.5,-6.666666666666667,11.666666666666666,81,85,81.0,85.0,83.33333333333333
google/gemma-4-12B-it,no_rag,BF16 minus NF4,97,23,6.185567010309279,-1.0309278350515465,13.402061855670103,11,5,0.210113525390625,4.123711340206185,-4.166666666666666,17.5,72,78,74.22680412371135,80.41237113402062,80.83333333333333
google/gemma-4-12B-it,with_rag,BF16 minus NF4,94,26,4.25531914893617,0.0,9.574468085106384,5,1,0.21875,3.191489361702128,-5.833333333333333,18.33333333333333,76,80,80.85106382978724,85.1063829787234,78.33333333333333
meta-llama/Llama-3.1-8B-Instruct,no_rag,BF16 minus NF4,93,27,8.60215053763441,2.1505376344086025,16.129032258064516,10,2,0.03857421875,5.913978494623656,-4.166666666666666,23.33333333333333,51,59,54.83870967741935,63.44086021505376,77.5
meta-llama/Llama-3.1-8B-Instruct,with_rag,BF16 minus NF4,104,16,2.8846153846153846,-1.9230769230769231,7.6923076923076925,5,2,0.453125,3.3653846153846154,-6.666666666666667,10.833333333333334,60,63,57.69230769230769,60.57692307692308,86.66666666666667
meta-llama/Llama-3.2-1B-Instruct,no_rag,BF16 minus NF4,82,38,2.4390243902439024,-2.4390243902439024,7.317073170731707,3,1,0.625,-1.2195121951219512,-18.33333333333333,20.0,14,16,17.073170731707318,19.51219512195122,68.33333333333333
meta-llama/Llama-3.2-1B-Instruct,with_rag,BF16 minus NF4,81,39,4.938271604938271,0.0,11.11111111111111,5,1,0.21875,3.08641975308642,-15.0,20.833333333333336,15,19,18.51851851851852,23.45679012345679,67.5
microsoft/phi-4,no_rag,BF16 minus NF4,104,16,4.807692307692308,0.9615384615384616,8.653846153846153,5,0,0.0625,4.807692307692308,-4.166666666666666,12.5,77,82,74.03846153846153,78.84615384615384,86.66666666666667
microsoft/phi-4,with_rag,BF16 minus NF4,102,18,2.941176470588235,-2.941176470588235,8.823529411764707,6,3,0.5078125,1.4705882352941175,-6.666666666666667,11.666666666666666,82,85,80.3921568627451,83.33333333333333,85.0
