model,precision,contrast,paired_cases,excluded_pairs,delta_pp,ci95_low_pp,ci95_high_pp,gained,lost,exact_mcnemar_p_unadjusted,partial_credit_delta_pp,all120_lower_delta_pp,all120_upper_delta_pp,before_correct,after_correct,before_strict_pct,after_strict_pct,pair_retention_pct
Qwen/Qwen3.8-27B,BF16,RAG minus no RAG,93,27,-2.1505376344086025,-6.451612903225806,2.1505376344086025,1,3,0.625,-1.0752688172043012,-15.833333333333332,10.0,89,87,95.6989247311828,93.5483870967742,77.5
Qwen/Qwen3.8-27B,NF4,RAG minus no RAG,104,16,0.9615384615384616,-2.8846153846153846,4.807692307692308,3,2,1.0,1.9230769230769231,-6.666666666666667,9.166666666666666,95,96,91.34615384615384,92.3076923076923,86.66666666666667
XHToken/Spark-X2.5-4B,BF16,RAG minus no RAG,86,34,12.790697674418606,1.162790697674419,25.58139534883721,21,10,0.0707555459812283,12.209302325581394,-7.5,22.5,43,54,50.0,62.7906976744186,71.66666666666667
XHToken/Spark-X2.5-4B,NF4,RAG minus no RAG,77,43,23.37662337662337,10.38961038961039,36.36363636363637,26,8,0.00293505564332,21.428571428571427,-5.0,37.5,28,46,36.36363636363637,59.74025974025974,64.16666666666667
gemini-3.8-flash,API,RAG minus no RAG,109,11,0.9174311926605504,0.0,2.752293577981652,1,0,1.0,0.4587155963302752,-4.166666666666666,5.833333333333333,108,109,99.08256880733946,100.0,90.83333333333331
google/gemma-3-12b-it,BF16,RAG minus no RAG,85,35,2.3529411764705883,-7.0588235294117645,11.76470588235294,11,9,0.8238029479980469,2.941176470588235,-16.666666666666664,15.0,58,60,68.23529411764706,70.58823529411765,70.83333333333333
google/gemma-3-12b-it,NF4,RAG minus no RAG,99,21,7.07070707070707,-1.0353535353535126,16.161616161616163,15,8,0.2100396156311035,5.555555555555555,-5.833333333333333,15.0,66,73,66.66666666666667,73.73737373737374,82.5
google/gemma-3-27b-it,BF16,RAG minus no RAG,100,20,7.000000000000001,-1.0,15.0,13,6,0.1670684814453125,7.000000000000001,-1.6666666666666667,15.833333333333332,75,82,75.0,82.0,83.33333333333333
google/gemma-3-27b-it,NF4,RAG minus no RAG,100,20,8.0,-2.0,18.0,17,9,0.1686375439167022,8.0,-0.8333333333333334,17.5,71,79,71.0,79.0,83.33333333333333
google/gemma-4-12B-it,BF16,RAG minus no RAG,99,21,6.0606060606060606,-1.0101010101010102,14.14141414141414,11,5,0.210113525390625,6.565656565656567,-5.0,13.333333333333334,78,84,78.78787878787878,84.84848484848484,82.5
google/gemma-4-12B-it,NF4,RAG minus no RAG,91,29,2.197802197802198,-5.494505494505495,9.89010989010989,8,6,0.79052734375,2.7472527472527477,-9.166666666666666,18.33333333333333,68,70,74.72527472527473,76.92307692307692,75.83333333333333
gpt-5.5-2026-04-23,API,RAG minus no RAG,114,6,-0.8771929824561403,-3.508771929824561,1.7543859649122806,1,2,1.0,-0.4385964912280701,-4.166666666666666,0.8333333333333334,112,111,98.24561403508773,97.36842105263158,95.0
meta-llama/Llama-3.1-8B-Instruct,BF16,RAG minus no RAG,95,25,-1.0526315789473684,-11.578947368421051,9.473684210526317,13,14,1.0,0.0,-13.333333333333334,10.0,60,59,63.1578947368421,62.10526315789474,79.16666666666667
meta-llama/Llama-3.1-8B-Instruct,NF4,RAG minus no RAG,96,24,5.208333333333334,-5.208333333333334,15.625,17,12,0.45825831964612,2.083333333333333,-5.0,16.666666666666664,50,55,52.083333333333336,57.29166666666666,80.0
meta-llama/Llama-3.2-1B-Instruct,BF16,RAG minus no RAG,82,38,6.097560975609756,-4.878048780487805,17.073170731707318,15,10,0.4243562221527099,3.658536585365853,-11.666666666666666,23.33333333333333,15,20,18.29268292682927,24.390243902439025,68.33333333333333
meta-llama/Llama-3.2-1B-Instruct,NF4,RAG minus no RAG,79,41,10.126582278481012,0.0,21.518987341772156,15,7,0.1338005065917968,8.227848101265822,-15.833333333333332,23.33333333333333,13,21,16.455696202531644,26.582278481012654,65.83333333333333
microsoft/phi-4,BF16,RAG minus no RAG,105,15,2.857142857142857,-4.761904761904762,10.476190476190476,11,8,0.6476058959960938,2.857142857142857,-6.666666666666667,10.0,81,84,77.14285714285714,80.0,87.5
microsoft/phi-4,NF4,RAG minus no RAG,101,19,1.98019801980198,-7.920792079207921,11.88118811881188,14,12,0.8450189828872681,2.9702970297029703,-5.833333333333333,12.5,77,79,76.23762376237623,78.21782178217822,84.16666666666667
anthropic/claude-opus-4.8,API,RAG minus no RAG,116,4,-0.8620689655172413,-2.586206896551724,0.0,0,1,1.0,-0.8620689655172413,-3.333333333333333,1.6666666666666667,115,114,99.13793103448276,98.27586206896552,96.66666666666669
