item_id,model_id,precision,no_rag,with_rag
clinical_astra_b01_001,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_001,XHToken/Spark-X2.5-4B,NF4,1.0,0.0
clinical_astra_b01_001,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_001,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_001,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_001,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_001,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_001,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_001,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_001,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_001,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_001,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,1.0
clinical_astra_b01_001,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,1.0
clinical_astra_b01_001,meta-llama/Llama-3.2-1B-Instruct,NF4,1.0,0.0
clinical_astra_b01_001,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_001,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_002,Qwen/Qwen3.8-27B,BF16,0.0,0.0
clinical_astra_b01_002,Qwen/Qwen3.8-27B,NF4,0.0,0.0
clinical_astra_b01_002,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_002,google/gemma-3-12b-it,BF16,0.0,0.0
clinical_astra_b01_002,google/gemma-3-12b-it,NF4,0.0,0.0
clinical_astra_b01_002,google/gemma-3-27b-it,BF16,0.0,0.0
clinical_astra_b01_002,google/gemma-3-27b-it,NF4,0.0,0.0
clinical_astra_b01_002,google/gemma-4-12B-it,BF16,0.0,0.0
clinical_astra_b01_002,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_002,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,0.0
clinical_astra_b01_002,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b01_002,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,0.0
clinical_astra_b01_002,microsoft/phi-4,BF16,0.0,0.0
clinical_astra_b01_002,microsoft/phi-4,NF4,0.0,0.0
clinical_astra_b01_003,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_003,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_003,XHToken/Spark-X2.5-4B,BF16,1.0,1.0
clinical_astra_b01_003,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_003,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_003,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_003,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_003,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_003,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_003,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_003,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_003,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_003,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,1.0
clinical_astra_b01_003,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,1.0
clinical_astra_b01_003,meta-llama/Llama-3.2-1B-Instruct,BF16,1.0,1.0
clinical_astra_b01_003,meta-llama/Llama-3.2-1B-Instruct,NF4,1.0,1.0
clinical_astra_b01_003,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_003,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_004,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_004,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_004,XHToken/Spark-X2.5-4B,BF16,1.0,1.0
clinical_astra_b01_004,XHToken/Spark-X2.5-4B,NF4,1.0,1.0
clinical_astra_b01_004,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_004,gemini-3.8-flash,API,1.0,1.0
