model,label,precision,mode,answers,peak_allocated_gib,mean_answer_peak_allocated_gib,peak_reserved_gib
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,no_rag,120,1.0162458419799805,1.0136886278788249,1.318359375
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,with_rag,120,1.159280776977539,1.1283613999684652,1.318359375
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,BF16,no_rag,120,2.3332157135009766,2.329316488901774,2.71484375
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,BF16,with_rag,120,2.502796173095703,2.4630807876586913,2.71484375
XHToken/Spark-X2.5-4B,SPARK 4B,NF4,no_rag,120,2.5525436401367188,2.5441173553466796,4.291015625
XHToken/Spark-X2.5-4B,SPARK 4B,NF4,with_rag,120,3.7189974784851074,3.254216782251994,4.291015625
XHToken/Spark-X2.5-4B,SPARK 4B,BF16,no_rag,120,7.74545431137085,7.720227102438609,10.67578125
XHToken/Spark-X2.5-4B,SPARK 4B,BF16,with_rag,120,8.939099311828613,8.473119926452636,10.67578125
meta-llama/Llama-3.1-8B-Instruct,Llama 3.1 8B,NF4,no_rag,120,5.489057540893555,5.482033928235372,6.123046875
meta-llama/Llama-3.1-8B-Instruct,Llama 3.1 8B,NF4,with_rag,120,5.874027252197266,5.78022251923879,6.123046875
meta-llama/Llama-3.1-8B-Instruct,Llama 3.1 8B,BF16,no_rag,120,15.116958141326904,15.015115392208099,15.833984375
meta-llama/Llama-3.1-8B-Instruct,Llama 3.1 8B,BF16,with_rag,120,15.4555082321167,15.348807009061177,15.833984375
google/gemma-4-12B-it,Gemma 4 12B,NF4,no_rag,120,7.5195794105529785,7.354605750242869,8.515625
google/gemma-4-12B-it,Gemma 4 12B,NF4,with_rag,120,8.180981636047363,7.968495865662892,8.515625
google/gemma-4-12B-it,Gemma 4 12B,BF16,no_rag,120,22.425710678100586,22.41209686199824,23.970703125
google/gemma-4-12B-it,Gemma 4 12B,BF16,with_rag,120,23.263566493988037,23.023415184020998,23.970703125
google/gemma-3-12b-it,Gemma 3 12B,NF4,no_rag,120,7.487008094787598,7.471021215120952,8.84765625
google/gemma-3-12b-it,Gemma 3 12B,NF4,with_rag,120,8.38993501663208,8.147493124008179,8.84765625
google/gemma-3-12b-it,Gemma 3 12B,BF16,no_rag,120,22.854045391082764,22.842195534706114,24.265625
google/gemma-3-12b-it,Gemma 3 12B,BF16,with_rag,120,23.779807090759277,23.516334601243337,24.265625
microsoft/phi-4,Phi-4 14B,NF4,no_rag,120,8.908575057983398,8.898882460594177,9.6015625
microsoft/phi-4,Phi-4 14B,NF4,with_rag,120,9.45993709564209,9.325050397713978,9.6015625
microsoft/phi-4,Phi-4 14B,BF16,no_rag,120,27.443700313568115,27.384363373120625,28.580078125
microsoft/phi-4,Phi-4 14B,BF16,with_rag,120,28.06361198425293,27.899633876482646,28.580078125
google/gemma-3-27b-it,Gemma 3 27B,NF4,no_rag,120,15.530142784118652,15.509805846214295,17.259765625
google/gemma-3-27b-it,Gemma 3 27B,NF4,with_rag,120,16.707844734191895,16.393844393889108,17.259765625
google/gemma-3-27b-it,Gemma 3 27B,BF16,no_rag,120,51.3273286819458,51.291358749071755,53.23828125
google/gemma-3-27b-it,Gemma 3 27B,BF16,with_rag,120,52.49656963348389,52.163057549794516,53.23828125
Qwen/Qwen3.8-27B,Qwen 3.8 27B,NF4,no_rag,120,17.06107473373413,17.050760265191396,18.291015625
Qwen/Qwen3.8-27B,Qwen 3.8 27B,NF4,with_rag,120,17.751896858215332,17.548201855023702,18.2890625
Qwen/Qwen3.8-27B,Qwen 3.8 27B,BF16,no_rag,120,51.232107639312744,51.21006960471471,53.212890625
Qwen/Qwen3.8-27B,Qwen 3.8 27B,BF16,with_rag,120,52.0169882774353,51.815541338920596,53.212890625
