model,label,precision,answers,peak_allocated_gib,mean_answer_peak_allocated_gib,median_answer_peak_allocated_gib,peak_reserved_gib,hardware
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,240,1.159280776977539,1.071025013923645,1.0647802352905273,1.318359375,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,BF16,240,2.502796173095703,2.3961986382802327,2.3861656188964844,2.71484375,NVIDIA RTX A6000
XHToken/Spark-X2.5-4B,SPARK 4B,NF4,240,3.7189974784851074,2.8991670687993367,2.7948460578918457,4.291015625,NVIDIA A100-SXM4-40GB
XHToken/Spark-X2.5-4B,SPARK 4B,BF16,240,8.939099311828613,8.096673514445623,8.00144362449646,10.67578125,NVIDIA A100-SXM4-40GB
meta-llama/Llama-3.1-8B-Instruct,Llama 3.1 8B,NF4,240,5.874027252197266,5.631128223737081,5.608083724975586,6.123046875,NVIDIA A100-SXM4-40GB
meta-llama/Llama-3.1-8B-Instruct,Llama 3.1 8B,BF16,240,15.4555082321167,15.181961200634639,15.204141855239868,15.833984375,NVIDIA A100-SXM4-40GB
google/gemma-4-12B-it,Gemma 4 12B,NF4,240,8.180981636047363,7.661550807952881,7.687065839767456,8.515625,NVIDIA A100-SXM4-40GB
google/gemma-4-12B-it,Gemma 4 12B,BF16,240,23.263566493988037,22.717756023009617,22.661030530929565,23.970703125,NVIDIA A100-SXM4-40GB
google/gemma-3-12b-it,Gemma 3 12B,NF4,240,8.38993501663208,7.809257169564565,7.752954959869385,8.84765625,NVIDIA RTX A6000
google/gemma-3-12b-it,Gemma 3 12B,BF16,240,23.779807090759277,23.179265067974725,23.115855932235718,24.265625,NVIDIA RTX A6000
microsoft/phi-4,Phi-4 14B,NF4,240,9.45993709564209,9.111966429154078,9.079307556152344,9.6015625,NVIDIA RTX A6000
microsoft/phi-4,Phi-4 14B,BF16,240,28.06361198425293,27.641998624801637,27.626879930496216,28.580078125,NVIDIA RTX A6000
google/gemma-3-27b-it,Gemma 3 27B,NF4,240,16.707844734191895,15.951825120051701,15.877686977386475,17.259765625,NVIDIA RTX A6000
google/gemma-3-27b-it,Gemma 3 27B,BF16,240,52.49656963348389,51.72720814943314,51.65738868713379,53.23828125,NVIDIA A100 80GB PCIe
Qwen/Qwen3.8-27B,Qwen 3.8 27B,NF4,240,17.751896858215332,17.29948106010755,17.246997833251953,18.291015625,NVIDIA A100-SXM4-40GB
Qwen/Qwen3.8-27B,Qwen 3.8 27B,BF16,240,52.0169882774353,51.51280547181765,51.46798920631409,53.212890625,A100 80GB SXM4 (Colab) / PCIe (Vast)
