model,label,precision,item_id,mode,peak_allocated_gib,peak_reserved_gib,input_tokens,output_tokens,hardware
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_001,no_rag,1.014638900756836,1.0390625,214,135,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_001,with_rag,1.1334419250488281,1.18359375,1701,145,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_001,with_rag,1.1366539001464844,1.2109375,1749,252,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_001,no_rag,1.0124177932739258,1.2109375,185,128,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_001,no_rag,1.0127239227294922,1.212890625,189,189,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_001,with_rag,1.1135444641113281,1.212890625,1413,254,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_001,with_rag,1.118485450744629,1.212890625,1490,302,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_001,no_rag,1.0139503479003906,1.216796875,205,290,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b05_001,no_rag,1.0149450302124023,1.216796875,218,155,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b05_001,with_rag,1.1384859085083008,1.216796875,1804,263,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b06_001,with_rag,1.1297531127929688,1.216796875,1689,172,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b06_001,no_rag,1.0139503479003906,1.216796875,205,129,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_002,no_rag,1.0154809951782227,1.216796875,225,271,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_002,with_rag,1.1228094100952148,1.216796875,1572,213,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_003,with_rag,1.126317024230957,1.216796875,1615,254,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_003,no_rag,1.0130319595336914,1.216796875,193,106,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_004,no_rag,1.0153274536132812,1.216796875,223,112,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_004,with_rag,1.1300334930419922,1.216796875,1640,240,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_005,with_rag,1.1347894668579102,1.216796875,1738,258,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_005,no_rag,1.0151748657226562,1.216796875,221,186,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_006,no_rag,1.0144853591918945,1.216796875,212,137,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_006,with_rag,1.1232690811157227,1.216796875,1562,133,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_007,with_rag,1.1316490173339844,1.216796875,1699,320,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_007,no_rag,1.0162458419799805,1.216796875,235,223,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_008,no_rag,1.014409065246582,1.216796875,211,191,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_008,with_rag,1.1185102462768555,1.216796875,1491,170,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_009,with_rag,1.1352920532226562,1.216796875,1760,136,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_009,no_rag,1.0145626068115234,1.216796875,213,245,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_010,no_rag,1.0149450302124023,1.216796875,218,122,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_010,with_rag,1.1214818954467773,1.216796875,1515,158,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_011,with_rag,1.159280776977539,1.31640625,2091,228,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_011,no_rag,1.0148687362670898,1.318359375,217,218,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_012,no_rag,1.0143327713012695,1.318359375,210,117,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_012,with_rag,1.1205835342407227,1.318359375,1508,232,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_013,with_rag,1.119044303894043,1.318359375,1532,252,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_013,no_rag,1.014791488647461,1.318359375,216,189,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_014,no_rag,1.013260841369629,1.318359375,196,164,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_014,with_rag,1.119985580444336,1.318359375,1472,136,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_015,with_rag,1.1319656372070312,1.318359375,1705,304,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_015,no_rag,1.0135669708251953,1.318359375,200,122,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_016,no_rag,1.0134143829345703,1.318359375,198,154,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_016,with_rag,1.1287117004394531,1.318359375,1673,359,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_017,with_rag,1.1300020217895508,1.318359375,1637,235,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_017,no_rag,1.0144853591918945,1.318359375,212,158,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_018,no_rag,1.0133380889892578,1.318359375,197,180,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_018,with_rag,1.1183347702026367,1.318359375,1484,208,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_019,with_rag,1.1263580322265625,1.318359375,1616,173,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_019,no_rag,1.0137205123901367,1.318359375,202,140,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_020,no_rag,1.0139503479003906,1.318359375,205,182,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b01_020,with_rag,1.143366813659668,1.318359375,1844,319,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_002,with_rag,1.1228904724121094,1.318359375,1576,188,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_002,no_rag,1.0122642517089844,1.318359375,183,139,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_003,no_rag,1.0126466751098633,1.318359375,188,113,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_003,with_rag,1.129990577697754,1.318359375,1636,254,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_004,with_rag,1.1434955596923828,1.318359375,1851,144,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_004,no_rag,1.0122642517089844,1.318359375,183,191,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_005,no_rag,1.0124177932739258,1.318359375,185,154,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_005,with_rag,1.1260700225830078,1.318359375,1609,249,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_006,with_rag,1.1367979049682617,1.318359375,1754,192,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_006,no_rag,1.0121879577636719,1.318359375,182,123,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_007,no_rag,1.0124177932739258,1.318359375,185,163,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_007,with_rag,1.129979133605957,1.318359375,1693,180,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_008,with_rag,1.1291236877441406,1.318359375,1683,157,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_008,no_rag,1.0124177932739258,1.318359375,185,135,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_009,no_rag,1.0130319595336914,1.318359375,193,126,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_009,with_rag,1.1300554275512695,1.318359375,1642,211,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_010,with_rag,1.1302375793457031,1.318359375,1659,294,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_010,no_rag,1.0135669708251953,1.318359375,200,150,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_011,no_rag,1.0127239227294922,1.318359375,189,122,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_011,with_rag,1.1175117492675781,1.318359375,1449,214,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_012,with_rag,1.1188535690307617,1.318359375,1460,348,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_012,no_rag,1.0128765106201172,1.318359375,191,160,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_013,no_rag,1.0125703811645508,1.318359375,187,119,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_013,with_rag,1.1405916213989258,1.318359375,1826,334,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_014,with_rag,1.1285877227783203,1.318359375,1670,186,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_014,no_rag,1.0128765106201172,1.318359375,191,135,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_015,no_rag,1.0129528045654297,1.318359375,192,172,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_015,with_rag,1.1286697387695312,1.318359375,1672,197,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_016,with_rag,1.1226530075073242,1.318359375,1586,318,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_016,no_rag,1.0134143829345703,1.318359375,198,115,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_017,no_rag,1.0134143829345703,1.318359375,198,173,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_017,with_rag,1.120138168334961,1.318359375,1478,236,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_018,with_rag,1.1225252151489258,1.318359375,1580,308,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_018,no_rag,1.013108253479004,1.318359375,194,141,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_019,no_rag,1.0123405456542969,1.318359375,184,117,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_019,with_rag,1.118988037109375,1.318359375,1531,195,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_020,with_rag,1.1300334930419922,1.318359375,1640,202,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b02_020,no_rag,1.0138731002807617,1.318359375,204,171,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_002,no_rag,1.0141792297363281,1.318359375,208,248,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_002,with_rag,1.1226739883422852,1.318359375,1587,354,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_003,with_rag,1.1450309753417969,1.318359375,1888,302,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_003,no_rag,1.015787124633789,1.318359375,229,230,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_004,no_rag,1.0137205123901367,1.318359375,202,183,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_004,with_rag,1.128504753112793,1.318359375,1668,383,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_005,with_rag,1.1227531433105469,1.318359375,1544,272,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_005,no_rag,1.0150213241577148,1.318359375,219,210,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_006,no_rag,1.013260841369629,1.318359375,196,141,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_006,with_rag,1.123147964477539,1.318359375,1566,204,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_007,with_rag,1.122589111328125,1.318359375,1583,149,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_007,no_rag,1.014638900756836,1.318359375,214,124,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_008,no_rag,1.0126466751098633,1.318359375,188,158,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_008,with_rag,1.1200876235961914,1.318359375,1476,188,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_009,with_rag,1.1140851974487305,1.318359375,1388,125,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_009,no_rag,1.0127239227294922,1.318359375,189,181,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_010,no_rag,1.0133380889892578,1.318359375,197,166,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_010,with_rag,1.1221141815185547,1.318359375,1526,437,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_011,with_rag,1.1241207122802734,1.318359375,1597,219,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_011,no_rag,1.0128765106201172,1.318359375,191,156,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_012,no_rag,1.0131845474243164,1.318359375,195,123,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_012,with_rag,1.1238908767700195,1.318359375,1593,250,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_013,with_rag,1.1240053176879883,1.318359375,1595,276,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_013,no_rag,1.0129528045654297,1.318359375,192,176,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_014,no_rag,1.0137205123901367,1.318359375,202,152,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_014,with_rag,1.1299047470092773,1.318359375,1628,108,NVIDIA RTX A6000
