strategy,source_pdf,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,items
bm25_only,AASM Scoring Version 3_searchable.pdf,0.46201550387596896,0.5023255813953489,0.6465116279069767,0.7069767441860465,0.7162790697674418,0.7813953488372093,0.7596899224806202,0.8186046511627907,0.5693189368770764,0.46201550387596896,0.5023255813953489,0.6465116279069767,0.7069767441860465,0.7162790697674418,0.7813953488372093,0.7596899224806202,0.8186046511627907,0.5693189368770764,0.7162790697674418,215
bm25_only,ICSD-3-TR_2023_searchable.pdf,0.4661666666666667,0.541,0.6096666666666666,0.669,0.685,0.741,0.7441666666666666,0.796,0.5671857142857143,0.4661666666666667,0.541,0.6096666666666666,0.669,0.685,0.741,0.7441666666666666,0.796,0.5671857142857143,0.685,1000
bm25_only_jiwar,AASM Scoring Version 3_searchable.pdf,0.4875968992248062,0.5069767441860465,0.6820598006644518,0.7581395348837209,0.7425249169435216,0.8093023255813954,0.7425249169435216,0.8093023255813954,0.5996899224806201,0.4875968992248062,0.5069767441860465,0.6820598006644518,0.7581395348837209,0.7425249169435216,0.8093023255813954,0.7425249169435216,0.8093023255813954,0.5996899224806201,0.7162790697674418,215
bm25_only_jiwar,ICSD-3-TR_2023_searchable.pdf,0.5195,0.552,0.675,0.717,0.7105,0.754,0.7105,0.754,0.6025833333333334,0.5195,0.552,0.675,0.717,0.7105,0.754,0.7105,0.754,0.6025833333333334,0.685,1000
bm25_only_mq,AASM Scoring Version 3_searchable.pdf,0.46201550387596896,0.5023255813953489,0.6465116279069767,0.7069767441860465,0.7162790697674418,0.7813953488372093,0.7596899224806202,0.8186046511627907,0.5693189368770764,0.46201550387596896,0.5023255813953489,0.6465116279069767,0.7069767441860465,0.7162790697674418,0.7813953488372093,0.7596899224806202,0.8186046511627907,0.5693189368770764,0.7162790697674418,215
bm25_only_mq,ICSD-3-TR_2023_searchable.pdf,0.4661666666666667,0.541,0.6096666666666666,0.669,0.685,0.741,0.7441666666666666,0.796,0.5671857142857143,0.4661666666666667,0.541,0.6096666666666666,0.669,0.685,0.741,0.7441666666666666,0.796,0.5671857142857143,0.685,1000
bm25_rerank,AASM Scoring Version 3_searchable.pdf,0.5976744186046512,0.641860465116279,0.7953488372093023,0.8511627906976744,0.8325581395348837,0.8976744186046511,0.8604651162790697,0.9162790697674419,0.7040753045404209,0.5976744186046512,0.641860465116279,0.7953488372093023,0.8511627906976744,0.8325581395348837,0.8976744186046511,0.8604651162790697,0.9162790697674419,0.7040753045404209,0.8325581395348837,215
bm25_rerank,ICSD-3-TR_2023_searchable.pdf,0.3691333333333333,0.438,0.5441333333333334,0.635,0.6479666666666667,0.729,0.7329666666666667,0.815,0.4912392857142857,0.3691333333333333,0.438,0.5441333333333334,0.635,0.6479666666666667,0.729,0.7329666666666667,0.815,0.4912392857142857,0.6479666666666667,1000
dense_bm25_concat,AASM Scoring Version 3_searchable.pdf,0.4666666666666666,0.5302325581395348,0.7162790697674418,0.7953488372093023,0.8046511627906977,0.8883720930232558,0.8441860465116279,0.9209302325581395,0.6084662236987819,0.4666666666666666,0.5302325581395348,0.7162790697674418,0.7953488372093023,0.8046511627906977,0.8883720930232558,0.8441860465116279,0.9209302325581395,0.6084662236987819,0.8046511627906977,215
dense_bm25_concat,ICSD-3-TR_2023_searchable.pdf,0.44756666666666667,0.531,0.6690666666666667,0.749,0.7637333333333334,0.831,0.8235666666666667,0.893,0.5869369047619047,0.44756666666666667,0.531,0.6690666666666667,0.749,0.7637333333333334,0.831,0.8235666666666667,0.893,0.5869369047619047,0.7637333333333334,1000
